Otu000027,0.992
Otu000123,0.986
Otu000043,0.98
Otu000040,0.98
Otu000057,0.978
Otu000176,0.978
Otu000005,0.968
Otu000067,0.962
Otu000048,0.954
Otu000029,0.946
Otu000058,0.932
Otu000084,0.894
Otu000025,0.852
Otu000041,0.82
Otu000330,0.808
Otu000112,0.796
Otu000173,0.784
Otu000042,0.754
Otu000017,0.744
Otu000016,0.736
Otu000219,0.732
Otu000050,0.694
Otu000004,0.658
Otu000095,0.656
Otu000290,0.638
Otu000106,0.634
Otu000034,0.628
Otu000082,0.622
Otu000038,0.608
Otu000335,0.598
Otu000175,0.56
Otu000012,0.558
Otu000049,0.548
Otu000047,0.548
Otu000284,0.542
Otu000204,0.518
Otu000030,0.49
Otu000098,0.49
Otu000011,0.47
Otu000143,0.462
Otu000085,0.46
Otu000059,0.458
Otu000096,0.44
Otu000119,0.434
Otu000124,0.434
Otu000073,0.402
Otu000094,0.348
Otu000104,0.342
Otu000036,0.332
Otu000023,0.328
Otu000247,0.324
Otu000009,0.32
Otu000169,0.314
Otu000107,0.312
Otu000001,0.308
Otu000222,0.304
Otu000086,0.284
Otu000079,0.278
Otu000152,0.268
Otu000117,0.262
Otu000163,0.248
Otu000020,0.226
Otu000022,0.226
Otu000414,0.222
Otu000007,0.216
Otu000139,0.212
Otu000083,0.212
Otu000060,0.204
Otu000213,0.186
Otu000115,0.184
Otu000287,0.18
Otu000024,0.172
Otu000010,0.168
Otu000075,0.16
Otu000147,0.144
Otu000090,0.142
Otu000103,0.122
Otu000212,0.118
Otu000026,0.112
Otu000033,0.104
Otu000271,0.1
Otu000091,0.098
Otu000078,0.096
Otu000158,0.094
Otu000019,0.09
Otu000006,0.086
Otu000046,0.078
Otu000665,0.07
Otu000113,0.068
Otu000053,0.06
Otu000061,0.056
Otu000196,0.054
Otu000160,0.054
Otu000246,0.05
Otu000343,0.03
