,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000173,0.9966666666666667,9566.60839724786,1.883297920552192,0.001363921293640148,1.6714358964853764
Otu000060,0.9766666666666667,27796.984949184563,1.4567974391856258,0.0040625464822251645,1.0394089560188713
Otu000313,0.8833333333333333,3017.3924006050643,2.440275457446437,0.0003997471366949182,2.1402915780131737
Otu000264,0.82,4356.082786767967,3.4713586289693126,0.0009123796774399015,2.93996322706378
Otu000001,0.8166666666666667,388317.5047628299,0.7026178738107253,0.09963929793247055,0.6209628380398986
Otu000335,0.7666666666666667,6827.797018274151,2.307560571468754,0.0009987038099487716,1.900521510410123
Otu000644,0.7033333333333334,1150.82466163729,3.7954951810392523,0.00017663245574891726,3.334429022456571
Otu000119,0.6666666666666666,12405.864370659885,2.330210911334568,0.0016441427083997216,1.9550785946129805
Otu000937,0.6466666666666666,594.0150506838202,2.2004309005751224,0.00014475892989948807,2.052936620133125
Otu001084,0.6,865.442474193069,2.117624659739427,0.00014343086632242845,1.7958166644795837
Otu001183,0.6,403.40920622609485,2.7499488684531714,7.43715603153333e-05,2.4931042622151693
Otu000025,0.5933333333333334,81738.50371171793,1.0795620151840633,0.015633964429145126,0.8036577724862253
Otu000292,0.5833333333333334,1002.7654984877333,2.783459465562135,0.0003824823101931456,2.7812370343280564
Otu000059,0.57,19884.18264139708,0.777692381343981,0.005158198933299295,0.8407055095117661
Otu000242,0.5633333333333334,5285.473527432483,3.0101491139906833,0.0007941820190816044,2.280205211298284
Otu000090,0.55,12142.283847272156,0.9694878108101904,0.0029190837423768742,0.8749736610333285
Otu000917,0.55,1165.1982814392493,3.656931687770565,0.0001474150570536077,3.397790482629953
Otu000535,0.5466666666666666,564.3979530595931,3.1023137459591275,0.00010226089543358335,3.375451889599282
Otu000088,0.5233333333333333,5020.187017101609,1.3483238397058661,0.0018300716091880535,1.525447060627215
Otu001038,0.49,563.9329431495826,2.634644102784795,0.00012350991266653566,2.628292983346003
Otu000137,0.4766666666666667,3050.1060767356453,1.7503793187593475,0.0015365695586578973,2.5636868587809087
Otu000024,0.47333333333333333,83985.81007988362,1.1382280186968545,0.015024383247274805,0.888290819094059
Otu000022,0.47333333333333333,49114.38435216383,1.5170891364402046,0.016142612779158932,2.1195830390268884
Otu000104,0.45666666666666667,21022.37650019722,1.33550411729191,0.003990831049063958,1.1786560468177552
Otu000149,0.4533333333333333,5455.911135919734,1.4738746583284987,0.001555162448736722,1.4731093902929677
Otu000221,0.4533333333333333,2068.796760778827,4.565809832307523,0.0004196680903508166,4.635804472863989
Otu000274,0.4533333333333333,2730.3887956245617,2.8060567353095114,0.0003970910095408023,2.6607075392546067
Otu000142,0.44666666666666666,1173.4519349044328,2.5015147809025415,0.0003824823101931456,3.1307183210229947
